event_id,session_id,seat_id,track_id,t_start,t_end,frame_start,frame_end,rule,points,score_after,confidence,severity,reason,clip_path,thumb_path
evt_0001,sess_20260823_084003,S04,4,4.13,5.0,19,40,candidate_talking,40.0,40.0,0.85,warning,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0002,sess_20260823_084003,S03,5,8.5,8.5,68,68,motion_spurt,20.0,20.0,0.75,warning,"Abnormal rapid motion detected at S03 (Energy: 30.5%, Velocity: 0.0px/s)",,
evt_0003,sess_20260823_084003,S04,4,8.75,8.75,70,70,object_unregistered,40.0,74.4,0.3,warning,"Unregistered object (bottle) appeared at S04 at 00:08, not present during calibration",,
evt_0004,sess_20260823_084003,S05,3,3.0,9.0,-78,72,hidden_hands,15.0,15.0,0.75,warning,Both wrists not visible for 6.0s,,
evt_0005,sess_20260823_084003,S04,4,9.0,9.88,58,79,candidate_talking,40.0,100.0,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),/api/clips/evt_0005,/api/thumbs/evt_0005
evt_0006,sess_20260823_084003,S02,1,9.25,10.25,57,82,head_turn,10.0,10.0,0.64,warning,"Head turned left, 2.6 deviations from own baseline, held 1.0s",,
evt_0007,sess_20260823_084003,S03,5,10.75,10.75,86,86,object_unregistered,40.0,56.6,0.65,warning,"Unregistered object (mouse) appeared at S03 at 00:10, not present during calibration",,
evt_0008,sess_20260823_084003,S04,4,13.0,13.0,104,104,object_unregistered,40.0,100.0,0.35,critical,"Unregistered object (bottle) appeared at S04 at 00:13, not present during calibration",/api/clips/evt_0008,/api/thumbs/evt_0008
evt_0009,sess_20260823_084003,S04,4,13.88,14.75,97,118,candidate_talking,40.0,100.0,0.85,critical,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
evt_0010,sess_20260823_084003,S04,4,4.13,14.75,-147,118,repeated_action,25.0,100.0,0.9,critical,"3 separate events in 10s: candidate_talking, candidate_talking, candidate_talking",/api/clips/evt_0010,/api/thumbs/evt_0010
evt_0011,sess_20260823_084003,S04,4,18.0,18.0,144,144,motion_spurt,20.0,100.0,0.75,critical,"Abnormal rapid motion detected at S04 (Energy: 30.2%, Velocity: 0.0px/s)",/api/clips/evt_0011,/api/thumbs/evt_0011
evt_0012,sess_20260823_084003,S04,4,19.5,19.5,156,156,object_unregistered,40.0,100.0,0.71,critical,"Unregistered object (chair) appeared at S04 at 00:19, not present during calibration",,
evt_0013,sess_20260823_084003,S04,4,18.75,19.63,136,157,candidate_talking,40.0,100.0,0.85,warning,Candidate turned towards S02 (talking / mutual gaze observed for 0.9s),,
